#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 410000      4.92e-01      3.77e-05      5.75e-02    7.3e-04
 411000      7.07e-01      1.09e-03      8.12e-02    7.3e-04
 412000      5.17e-01      1.34e-03      5.73e-02    7.3e-04
 413000      6.81e-01      1.04e-03      7.82e-02    7.3e-04
 414000      5.35e-01      2.34e-03      5.33e-02    7.3e-04
 415000      4.73e-01      3.45e-04      5.52e-02    7.3e-04
 416000      1.42e+00      6.02e-04      1.66e-01    7.3e-04
 417000      6.08e-01      5.33e-04      7.08e-02    7.3e-04
 418000      6.21e-01      7.42e-04      7.19e-02    7.3e-04
 419000      1.97e+00      5.50e-03      2.18e-01    7.3e-04
 420000      6.09e-01      7.84e-04      7.06e-02    7.2e-04
 421000      7.15e-01      3.13e-04      8.37e-02    7.2e-04
 422000      8.24e-01      3.63e-03      8.18e-02    7.2e-04
 423000      6.31e-01      1.26e-03      7.18e-02    7.2e-04
 424000      6.20e-01      2.06e-03      6.67e-02    7.2e-04
 425000      5.64e-01      1.37e-04      6.62e-02    7.2e-04
 426000      6.41e-01      5.68e-04      7.49e-02    7.2e-04
 427000      6.73e-01      2.22e-03      7.28e-02    7.2e-04
 428000      3.24e+00      9.29e-05      3.81e-01    7.2e-04
 429000      4.69e-01      9.50e-04      5.35e-02    7.2e-04
 430000      4.62e-01      1.61e-03      4.96e-02    7.2e-04
 431000      5.09e-01      1.34e-03      5.69e-02    7.2e-04
 432000      6.47e-01      1.02e-03      7.48e-02    7.2e-04
